の,5061558
に,3576558
て,3493117
は,3289932
だ,3156903
を,3085673
た,2876462
為る,2563860
が,2385641
と,2277742
で,1328513
も,1263764
居る,1121183
ます,1112981
の,1112283
有る,956900
です,804504
言う,803148
事,740949
ない,637068
れる,606359
成る,564043
一,507548
無い,458395
から,455353
が,414964
か,403371
二,402327
其の,393670
様,373477
か,349279
三,312292
十,306226
ず,288849
此の,284641
物,276332
的,275428
其れ,271869
御,256946
と,255719
や,249226
年,246629
来る,238115
五,232128
ば,231225
思う,229081
見る,223222
行く,220816
四,212748
出来る,209481
此れ,199500
良い,198994
者,195290
私,189084
から,186686
など,181117
ね,180990
られる,178576
よ,175883
さん,169978
因る,169135
何,169085
まで,163960
時,162023
六,158484
二十,157169
人,156890
為,152779
月,152090
八,148055
へ,146884
てる,145120
第,142200
そう,131102
七,131055
九,129710
だけ,124803
日本,121427
達,121337
たい,118086
どう,117790
中,116641
せる,116560
又,116270
つく,114674
千,112555
自分,111079
所,108040
三十,105909
零,104568
って,104082
考える,98935
仕舞う,98178
つ,98091
けれど,96910
方,96578
場合,96315
な,96061
今,95114
持つ,92668
彼,92039
遣る,90348
．,89317
等,88745
分かる,88041
日,87635
居る,85931
於く,84355
五十,81259
出る,80695
前,80181
行う,79779
取る,79554
たり,78199
等,77590
円,76926
万,76503
性,75759
九百,73149
訳,73097
ながら,72991
時,72986
さ,72687
百,72617
下さる,72328
然し,71506
問題,71479
必要,70606
対する,69928
使う,68889
より,68800
人,68776
化,68086
時間,67857
聞く,67600
四十,67244
呉れる,66113
人,64547
知る,64503
し,64182
後,63979
パーセント,63392
御,62819
そして,62757
もう,62675
一,62079
会,61475
置く,61241
子供,59470
日,59198
こう,59168
入る,58543
気,58440
方,58294
作る,57888
関係,57596
此処,56797
多い,55818
御座る,55388
其処,55013
六十,54794
目,54781
九十,54476
度,54088
ほど,53739
くらい,51452
上,50903
市,50766
日,49570
八十,49505
出す,49359
及び,48990
社会,48979
話,48837
貴方,48132
僕,47657
手,47213
以上,46675
事業,46516
歳,45490
内,45175
私,45085
皆,44925
七十,44469
付ける,44215
べし,44160
付く,44047
世界,42934
他,42896
点,42658
受ける,42645
人間,42617
二千,42567
次,42491
良く,42307
生活,42165
法,42149
同じ,41968
書く,41966
貰う,41908
会社,41167
何時,40505
高い,40495
得る,40470
掛ける,40469
条,40277
そんな,40226
中,40214
男,40130
研究,39871
地域,39652
顔,39604
大,39487
情報,39386
意味,39279
回,39189
彼女,39187
知れる,39167
侭,39019
図,38903
そう,38826
言葉,38490
入れる,38409
国,38303
関する,38191
県,38132
学校,38116
間,38094
上げる,38045
り,37786
所,37714
仕事,37646
大きい,37111
一人,37071
企業,36662
誰,36593
可能,36362
分,36200
二百,36086
何処,35789
見える,35615
委員,35454
頂く,35439
時代,35357
利用,35354
少し,35257
今日,35121
本当,35074
者,34959
様,34631
彼の,34289
二人,34272
掛かる,34223
全て,34157
声,34120
現在,34006
不,33979
家,33587
の,33438
方法,33321
経済,33251
未だ,33094
別,33053
女性,32996
矢張り,32887
食べる,32739
教える,32340
頃,32332
通り,32098
共,32042
他,32034
心,31987
年度,31877
後,31828
活動,31440
違う,31012
何,30868
しか,30848
始める,30770
わ,30740
環境,30685
大きな,30493
部,30479
俺,30268
家,29885
トウキョウ,29804
一寸,29800
先,29701
子,29535
電話,29494
結果,29482
調査,29467
変わる,29331
過ぎる,29289
ちゃん,29278
君,29159
又,29155
内,29142
相手,28953
目,28661
呼ぶ,28626
感ずる,28494
状況,28468
強い,28368
アメリカ,28243
力,27841
女,27800
上,27786
教育,27757
買う,27664
地,27625
計画,27588
技術,27587
用,27504
先ず,27357
直ぐ,27302
悪い,27301
大学,27103
続ける,27032
先生,26992
特に,26791
ばかり,26788
何の,26648
内容,26647
或いは,26630
書,26629
写真,26592
約,26478
保険,26042
生,26040
号,25998
場所,25943
車,25888
昭和,25850
筈,25475
代,25457
状態,25389
一般,25347
例えば,25317
少ない,25175
五百,25106
使用,25103
示す,24856
部分,24795
館,24783
政府,24759
長い,24743
こんな,24728
八百,24723
平成,24690
ページ,24642
労働,24539
好き,24502
二,24365
早い,24334
制度,24257
員,24244
対象,24238
みたい,24220
存在,24112
返る,24094
開発,24083
致す,23823
気持ち,23768
切る,23697
国,23687
基本,23672
三百,23594
規定,23512
体,23450
頭,23423
質問,23407
項,23379
説明,23376
読む,23324
氏,23217
省,23199
水,23153
何故,23129
実施,22871
表,22851
全く,22639
重要,22629
立つ,22598
施設,22562
殆ど,22554
なんて,22552
新しい,22474
話す,22436
中国,22321
地方,22248
一緒,22245
一番,22216
